id,name,genre,developers,publishers,releaseDates
39,Adrift,['First-person'],['Three One Zero'],['505 Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jul 15, 2016', 'Europe': 'Jul 15, 2016', 'Australia': 'Jul 15, 2016'}"
40,The Adventure Pals,[],['Massive Monster'],['Armor Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Apr 3, 2018', 'Europe': 'Apr 3, 2018', 'Australia': 'Apr 3, 2018'}"
41,Adventures of Pip,[],['Tic Toc Games'],['Tic Toc Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Feb 9, 2016', 'Europe': 'Aug 18, 2015', 'Australia': 'Aug 18, 2015'}"
42,Adventures of Scarlet Curiosity,['Action role-playing'],['Ankake Supa'],['Mediascape'],"{'Japan': 'Sep 27, 2016', 'NorthAmerica': 'Unreleased', 'Europe': 'Unreleased', 'Australia': 'Unreleased'}"
43,Adventure Time: Finn & Jake Investigations,['Action-adventure'],['Vicious Cycle Software'],['Little Orbit'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 6, 2015', 'Europe': 'Oct 20, 2015', 'Australia': 'Oct 20, 2015'}"
44,Aegis Defenders,[],['Guts Department'],['Guts Department'],"{'Japan': 'Feb 8, 2018', 'NorthAmerica': 'Feb 8, 2018', 'Europe': 'Feb 8, 2018', 'Australia': 'Feb 8, 2018'}"
45,Aegis of Earth: Protonovus Assault,[],['Acquire'],['Aksys Games'],"{'Japan': 'Aug 1, 2016', 'NorthAmerica': 'Apr 22, 2016', 'Europe': 'Mar 15, 2016', 'Australia': 'Mar 15, 2016'}"
46,AER: Memories of Old,[],['Forgotten Key'],['Daedalic Entertainment'],"{'Japan': 'Oct 25, 2017', 'NorthAmerica': 'Oct 25, 2017', 'Europe': 'Oct 25, 2017', 'Australia': 'Oct 25, 2017'}"
47,AeternoBlade,[],['Corecell Technology'],['PQube'],"{'Japan': 'Apr 26, 2016', 'NorthAmerica': 'Aug 5, 2015', 'Europe': 'Aug 4, 2015', 'Australia': 'Aug 4, 2015'}"
48,AeternoBlade II,[],['Corecell Technology'],['PQube'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Oct 11, 2019', 'Europe': 'Oct 11, 2019', 'Australia': 'Oct 11, 2019'}"
49,AFL Evolution,[],['Wicked Witch Software'],['Tru Blu Entertainment'],"{'Japan': 'Unreleased', 'NorthAmerica': 'May 5, 2017', 'Europe': 'May 5, 2017', 'Australia': 'May 5, 2017'}"
50,Afterparty,['Adventure'],['Night School Studio'],['Night School Studio'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Oct 29, 2019', 'Europe': 'Oct 29, 2019', 'Australia': 'Oct 29, 2019'}"
51,Agatha Christie: The ABC Murders,[],['Artefacts Studio'],['Microïds'],"{'Japan': 'Apr 28, 2017', 'NorthAmerica': 'Feb 4, 2016', 'Europe': 'Feb 23, 2016', 'Australia': 'Feb 23, 2016'}"
52,Agent A: A Puzzle in Disguise,[],['Yak'],['Yak'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Aug 29, 2019', 'Europe': 'Aug 29, 2019', 'Australia': 'Aug 29, 2019'}"
53,Agents of Mayhem,[],['Volition'],['Deep Silver'],"{'Japan': 'Dec 7, 2017', 'NorthAmerica': 'Aug 18, 2017', 'Europe': 'Aug 15, 2017', 'Australia': 'Aug 15, 2017'}"
54,Age of Wonders: Planetfall,"['4X', 'turn-based strategy']",['Triumph Studios'],['Paradox Interactive'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Aug 6, 2019', 'Europe': 'Aug 6, 2019', 'Australia': 'Aug 6, 2019'}"
55,Agony,[],['Madmind Studio'],['PlayWay'],"{'Japan': 'Unreleased', 'NorthAmerica': 'May 29, 2018', 'Europe': 'May 29, 2018', 'Australia': 'May 29, 2018'}"
56,A Hat in Time,[],['Gears for Breakfast'],['Gears for Breakfast'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Dec 6, 2017', 'Europe': 'Dec 6, 2017', 'Australia': 'Dec 6, 2017'}"
57,A Healer Only Lives Twice,['Dungeon crawl'],['Pon Pon Games'],['Platine Dispositif'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jul 25, 2017', 'Europe': 'Jul 25, 2017', 'Australia': 'Jul 25, 2017'}"
58,AI-Limit,[],['Sense Games'],['Palm Pioneer'],"{'Japan': 'TBA', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
59,AI: The Somnium Files,[],['Spike Chunsoft'],['Spike Chunsoft'],"{'Japan': 'Sep 19, 2019', 'NorthAmerica': 'Sep 20, 2019', 'Europe': 'Sep 17, 2019', 'Australia': 'Sep 17, 2019'}"
60,AIPD,[],['Blazing Badger'],['Blazing Badger'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jan 29, 2016', 'Europe': 'Jan 29, 2016', 'Australia': 'Jan 29, 2016'}"
61,Air Conflicts: Pacific Carriers,[],['Games Farm'],['Kalypso Media'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 6, 2015', 'Europe': 'Nov 3, 2015', 'Australia': 'Nov 3, 2015'}"
62,Air Conflicts: Vietnam,[],['Games Farm'],['bitComposer Interactive'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jun 27, 2014', 'Europe': 'Sep 16, 2014', 'Australia': 'Sep 16, 2014'}"
63,Airport Simulator 2019,['Simulation'],['Toplitz Productions'],['UIG Entertainment'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Aug 15, 2018', 'Europe': 'Apr 9, 2019', 'Australia': 'Apr 9, 2019'}"
64,Airship Q,[],['Miracle Positive'],['Miracle Positive'],"{'Japan': 'Nov 19, 2015', 'NorthAmerica': 'Unreleased', 'Europe': 'Unreleased', 'Australia': 'Unreleased'}"
65,Akiba's Beat,[],['Acquire'],['Marvelous USA'],"{'Japan': 'Dec 15, 2016', 'NorthAmerica': 'Mar 19, 2017', 'Europe': 'May 2, 2017', 'Australia': 'May 2, 2017'}"
66,Akiba's Trip: Undead & Undressed,[],['Acquire'],['Marvelous USA'],"{'Japan': 'Jul 3, 2014', 'NorthAmerica': 'Feb 13, 2015', 'Europe': 'Nov 25, 2014', 'Australia': 'Nov 25, 2014'}"
